E,B,V,S,C,I,A,regras_acionadas
0,0,0,0,0,0,0,---
0,0,0,0,0,1,0,---
0,0,0,0,1,0,0,---
0,0,0,0,1,1,0,---
0,0,0,1,0,0,1,R1
0,0,0,1,0,1,1,R1
0,0,0,1,1,0,1,R1
0,0,0,1,1,1,1,R1
0,0,1,0,0,0,0,---
0,0,1,0,0,1,1,R6
0,0,1,0,1,0,0,---
0,0,1,0,1,1,1,R6
0,0,1,1,0,0,1,R1
0,0,1,1,0,1,1,R1;R6
0,0,1,1,1,0,1,R1
0,0,1,1,1,1,1,R1;R6
0,1,0,0,0,0,0,---
0,1,0,0,0,1,0,---
0,1,0,0,1,0,0,---
0,1,0,0,1,1,0,---
0,1,0,1,0,0,1,R1
0,1,0,1,0,1,1,R1
0,1,0,1,1,0,1,R1
0,1,0,1,1,1,1,R1
0,1,1,0,0,0,1,R4
0,1,1,0,0,1,1,R4;R6
0,1,1,0,1,0,1,R4
0,1,1,0,1,1,1,R4;R6
0,1,1,1,0,0,1,R1;R4
0,1,1,1,0,1,1,R1;R4;R6
0,1,1,1,1,0,1,R1;R4
0,1,1,1,1,1,1,R1;R4;R6
1,0,0,0,0,0,0,---
1,0,0,0,0,1,0,---
1,0,0,0,1,0,0,---
1,0,0,0,1,1,0,---
1,0,0,1,0,0,1,R1
1,0,0,1,0,1,1,R1
1,0,0,1,1,0,1,R1
1,0,0,1,1,1,1,R1
1,0,1,0,0,0,1,R2
1,0,1,0,0,1,1,R2;R6
1,0,1,0,1,0,1,R2
1,0,1,0,1,1,1,R2;R6
1,0,1,1,0,0,1,R1;R2
1,0,1,1,0,1,1,R1;R2;R6
1,0,1,1,1,0,1,R1;R2
1,0,1,1,1,1,1,R1;R2;R6
1,1,0,0,0,0,1,R3
1,1,0,0,0,1,1,R3
1,1,0,0,1,0,1,R3;R5
1,1,0,0,1,1,1,R3;R5
1,1,0,1,0,0,1,R1;R3
1,1,0,1,0,1,1,R1;R3
1,1,0,1,1,0,1,R1;R3;R5
1,1,0,1,1,1,1,R1;R3;R5
1,1,1,0,0,0,1,R2;R3;R4
1,1,1,0,0,1,1,R2;R3;R4;R6
1,1,1,0,1,0,1,R2;R3;R4;R5
1,1,1,0,1,1,1,R2;R3;R4;R5;R6
1,1,1,1,0,0,1,R1;R2;R3;R4
1,1,1,1,0,1,1,R1;R2;R3;R4;R6
1,1,1,1,1,0,1,R1;R2;R3;R4;R5
1,1,1,1,1,1,1,R1;R2;R3;R4;R5;R6
